,text,emotion,X,y,NaiveBayes,SVM
10954,New poll  in  Americans say they wont consider a SelfDrivingCars  But note strong age correlation ,,"  (0, 3078)	0.0515820612638
  (0, 2309)	0.197300123094
  (0, 111)	0.303670085744
  (0, 59)	0.33728732935
  (0, 3002)	0.305539814039
  (0, 3883)	0.293817558014
  (0, 691)	0.345638018177
  (0, 3342)	0.387605950609
  (0, 2560)	0.377385533487
  (0, 2336)	0.400782359972",,positive,positive
10956,If everybody has one SelfDrivingCars might make your morning commute safer ,,"  (0, 3078)	0.0732707804027
  (0, 2105)	0.333209984233
  (0, 2978)	0.397601398126
  (0, 2237)	0.484767587821
  (0, 646)	0.484767587821
  (0, 1190)	0.505486299468",,positive,positive
10958,  acknowledges  minor accidents with its selfdrivingcars in MM miles of testing Idbehappywiththat ,,"  (0, 3078)	0.0713951624957
  (0, 3475)	0.282444121367
  (0, 17)	0.316285283011
  (0, 2183)	0.393768202954
  (0, 2212)	0.46684221407
  (0, 22)	0.478400472331
  (0, 2195)	0.461767914007",,positive,positive
10960,Google Says Its SelfDriving Cars Drive Better Than You  tech selfdrivingcars,,"  (0, 3078)	0.100663827812
  (0, 509)	0.242236741971
  (0, 350)	0.520534708833
  (0, 3071)	0.248937226512
  (0, 3004)	0.453159687596
  (0, 3427)	0.332109422421
  (0, 1478)	0.310816956892
  (0, 1010)	0.431282363598",,positive,neutral
10962,Will Autonomous Big Rigs Beat SelfDrivingCars to Our Roadways  ,,"  (0, 3078)	0.0714746780889
  (0, 252)	0.244185155624
  (0, 356)	0.351908330581
  (0, 2922)	0.537086147129
  (0, 2900)	0.511353096008
  (0, 322)	0.511353096008",,positive,positive
10964,Awesome behind the scenes look at Google selfdrivingcars via urmson  eviewfromthefrontseatofthegoogleselfdrivingcarfcfe ,,"  (0, 3078)	0.0790924257109
  (0, 1478)	0.244211526692
  (0, 2062)	0.385717453618
  (0, 3684)	0.529977837366
  (0, 284)	0.492712002855
  (0, 1194)	0.511552087811",,positive,neutral
10966,RT t  REPORT Googles selfdriving cars have been in  accidents  selfdrivingcars,,"  (0, 3078)	0.102654078056
  (0, 2959)	0.280367910425
  (0, 509)	0.247026066452
  (0, 3071)	0.253859027983
  (0, 17)	0.454764342505
  (0, 2842)	0.561496139509
  (0, 1482)	0.513128804073",,neutral,neutral
10968,Cars are the red blood cells of American civilization selfdrivingcars could mean never having to take Baby Boomers keys away as they age,,"  (0, 3078)	0.0462176653416
  (0, 509)	0.111217871575
  (0, 110)	0.285570591621
  (0, 532)	0.330656211327
  (0, 1571)	0.305781186159
  (0, 59)	0.302210352396
  (0, 283)	0.277335327229
  (0, 289)	0.338138450929
  (0, 2150)	0.260695566454
  (0, 396)	0.347295972102
  (0, 2789)	0.330656211327
  (0, 1908)	0.347295972102",,positive,positive
10970,I really want robots to be doing all the driving as soon as possible  eviewfromthefrontseatofthegoogleselfdrivingcarfcfe  selfdrivingcars,,"  (0, 3078)	0.0643959460016
  (0, 1024)	0.24241277149
  (0, 3800)	0.318622593709
  (0, 973)	0.39789089868
  (0, 3237)	0.321890911541
  (0, 2938)	0.335072253243
  (0, 2580)	0.40831604443
  (0, 2768)	0.348096937326
  (0, 1194)	0.416498549988",,positive,positive
10972,TomTom  Big data will fuel selfdriving car innovation | bigdatawillfuelselfdrivingcarinnovation  BigData selfdrivingcars ConnectedCars IoT MM,,"  (0, 3078)	0.0591846276301
  (0, 3071)	0.146360985615
  (0, 492)	0.181063055483
  (0, 686)	0.322429758998
  (0, 1838)	0.214776770634
  (0, 356)	0.291397793768
  (0, 811)	0.30420077646
  (0, 1384)	0.408307626064
  (0, 1768)	0.273512775482
  (0, 357)	0.295841507423
  (0, 3534)	0.368694930719
  (0, 2212)	0.386999365726",,neutral,neutral
10974,Why You Shouldnt Worry About SelfDriving Car Accidents  um driverless selfdrivingcars driverlesscars,,"  (0, 3078)	0.07115621835
  (0, 3071)	0.17596620385
  (0, 492)	0.217687646725
  (0, 3639)	0.439661398332
  (0, 1018)	0.288155807992
  (0, 1016)	0.257235104953
  (0, 17)	0.315226744672
  (0, 3149)	0.48345633549
  (0, 3895)	0.49089819025",,positive,positive
10976,Googles selfdriving car CRASH course in PR needed  rld driverless selfdrivingcars driverlesscars,,"  (0, 3078)	0.0592911985753
  (0, 3071)	0.146624530883
  (0, 492)	0.181389087119
  (0, 1018)	0.240106959426
  (0, 1016)	0.214342162104
  (0, 2594)	0.343088301855
  (0, 748)	0.321741672745
  (0, 1482)	0.296374215161
  (0, 2297)	0.379580605351
  (0, 737)	0.416072908846
  (0, 2912)	0.460680824076",,positive,positive
10978,Will selfdriving car accidents set back autonomous technology video   driverless selfdrivingcars,,"  (0, 3078)	0.0843993222174
  (0, 252)	0.288340740823
  (0, 3071)	0.208715818273
  (0, 492)	0.258202167916
  (0, 3439)	0.318541785199
  (0, 1016)	0.305109925906
  (0, 17)	0.373894569049
  (0, 3119)	0.488376366697
  (0, 3759)	0.476063188202",,positive,positive
10980,Who gets the Traffic ticket when selfdrivingcars are at fault in a caraccident   ,,"  (0, 3078)	0.072132940547
  (0, 1444)	0.381553595752
  (0, 3559)	0.330343843365
  (0, 1273)	0.445696388061
  (0, 3513)	0.497636479187
  (0, 493)	0.542032565313",,positive,positive
10982,SelfDriving Cars are Already Getting Into Accidents  Selfdrivingcars Lexus Google Delphi,,"  (0, 3078)	0.0798029006249
  (0, 509)	0.192037150458
  (0, 3071)	0.197349069481
  (0, 1478)	0.246405240715
  (0, 17)	0.353532117961
  (0, 864)	0.497137957865
  (0, 1445)	0.4139392289
  (0, 2004)	0.560012713442",,neutral,neutral
10984,Earlier this week Future Chat   Whats Slow About a Bear ~WhatsSlowAboutaBearhtml  tesla nanotubes selfdrivingcars,,"  (0, 3078)	0.0644464915928
  (0, 1396)	0.213120125701
  (0, 3463)	0.270386170831
  (0, 557)	0.42140590164
  (0, 1048)	0.461071163719
  (0, 3826)	0.36180883186
  (0, 3840)	0.398203210743
  (0, 3192)	0.444608592537",,positive,positive
10986,SelfDrivin Cars in  California Crashes That Were Kept Secret  roboticvehicles Selfdrivingcars,,"  (0, 3078)	0.0805275839095
  (0, 509)	0.193781023323
  (0, 476)	0.319554365477
  (0, 3039)	0.49756537049
  (0, 750)	0.463463397995
  (0, 1905)	0.625683315698",,positive,positive
10988,Perhaps Google s SelfDrivingCars arent working the way they planned autonomous tech ,,"  (0, 3078)	0.0761383850439
  (0, 252)	0.260118183083
  (0, 3427)	0.251195246898
  (0, 1478)	0.235090415856
  (0, 3886)	0.414791511296
  (0, 2536)	0.534297165537
  (0, 3814)	0.354513572681
  (0, 165)	0.474309592252",,positive,neutral
10990,My  after reading If two SelfDrivingCars get in an accident how is fault determined theselfdrivingcarsinCaliforniafourhavebeeninaccidentsvideocmpidTLS ,,"  (0, 3078)	0.0742806015358
  (0, 1273)	0.458966396718
  (0, 15)	0.423111143996
  (0, 2761)	0.521260266186
  (0, 898)	0.57714550474",,positive,positive
10992,Google says selfdrivingcars have logged m miles with  minor accidents ,,"  (0, 3078)	0.0747140447221
  (0, 3004)	0.336341205189
  (0, 1478)	0.230692519074
  (0, 17)	0.330988150371
  (0, 2183)	0.412072948603
  (0, 2195)	0.483233700608
  (0, 2055)	0.561427899909",,neutral,neutral
10994,Selfdrivingcars  out of  getting in accidents Do you trust them ,,"  (0, 3078)	0.113264321016
  (0, 3601)	0.624690617487
  (0, 17)	0.501768419249
  (0, 1445)	0.587504280369",,positive,neutral
10996,Googles selfdriving cars of tomorrow face the mean streets of today Selfdrivingcars DD ,,"  (0, 3078)	0.0617083062018
  (0, 509)	0.148494443056
  (0, 3071)	0.15260193192
  (0, 3531)	0.305324508704
  (0, 3337)	0.322111830333
  (0, 1245)	0.375511384968
  (0, 1482)	0.308456419484
  (0, 2150)	0.348072143439
  (0, 3533)	0.408268979552
  (0, 820)	0.479461269741",,positive,positive
10998,Google s SelfDrivingCars have been in  accidents in  years impressive odds if you ask me   GoogleCar,,"  (0, 3078)	0.0738690971281
  (0, 1478)	0.228083597422
  (0, 3924)	0.340125420912
  (0, 17)	0.32724497675
  (0, 1479)	0.425141561434
  (0, 1721)	0.52848354866
  (0, 185)	0.509614014579",,neutral,neutral
11000,Are we there yet selfdrivingcars  Million miles driven  eviewfromthefrontseatofthegoogleselfdrivingcarfcfe ,,"  (0, 3078)	0.084932568032
  (0, 2186)	0.44773476761
  (0, 2183)	0.468431522769
  (0, 1012)	0.520705471074
  (0, 1194)	0.549324819784",,positive,positive
11002,Google says Self driving cars are than you driving the car ,,"  (0, 509)	0.218693147824
  (0, 3004)	0.409115965403
  (0, 492)	0.278028633524
  (0, 1478)	0.280607880319
  (0, 3062)	0.400749488875
  (0, 1024)	0.684219685158",,neutral,neutral
11004,Human error and inattention Google acknowledges  accidents with its selfdriving cars  SelfDrivingCars,,"  (0, 3078)	0.0828526352439
  (0, 509)	0.199376010841
  (0, 1657)	0.38577629023
  (0, 3071)	0.204890929295
  (0, 1478)	0.255821823158
  (0, 17)	0.367042643652
  (0, 1160)	0.504180226677
  (0, 22)	0.555174026489",,positive,neutral
11006,Autonomous Cars Will Require a Totally New Kind of Map | WIRED  selfdrivingcars autos automation,,"  (0, 3078)	0.0567459989831
  (0, 2309)	0.217052058606
  (0, 252)	0.193866288918
  (0, 509)	0.136553181141
  (0, 3866)	0.375437806099
  (0, 234)	0.281476399778
  (0, 271)	0.311664332154
  (0, 2846)	0.375437806099
  (0, 2120)	0.375437806099
  (0, 1917)	0.391483820398
  (0, 3547)	0.375437806099",,positive,neutral
11008,SelfDrivingCars  Accidents ,,"  (0, 3078)	0.220190164684
  (0, 17)	0.975456965415",,neutral,neutral
11010,Report on SelfDrivingCars doesn paint a fair picture ,,"  (0, 3078)	0.0708991104873
  (0, 2842)	0.387803169508
  (0, 968)	0.507235298168
  (0, 1259)	0.550871991634
  (0, 2523)	0.532761127501",,neutral,neutral
11012,On  w teve talking about SelfDrivingCars  By clocking  million miles  quantifes how bad rest of us drive,,"  (0, 3078)	0.0623120923041
  (0, 296)	0.360568692274
  (0, 2186)	0.328487537979
  (0, 2183)	0.343672032546
  (0, 1010)	0.266968851013
  (0, 3403)	0.376486040599
  (0, 2861)	0.455888764829
  (0, 600)	0.46823521938",,positive,neutral
11014,Google says its selfdriving cars have had  crashes SelfDrivingCars GoogleCars ,,"  (0, 3078)	0.0887308788001
  (0, 509)	0.213521375651
  (0, 3071)	0.219427567524
  (0, 3004)	0.399440972901
  (0, 1478)	0.273971915537
  (0, 750)	0.510676126108
  (0, 1480)	0.634809568915",,neutral,neutral
11016,Talking w   Radio about  fleet of SelfDrivingCars  Not  but  clocking  million miles ,,"  (0, 3078)	0.0649624811635
  (0, 1326)	0.387252006732
  (0, 2186)	0.342459460264
  (0, 2183)	0.358289813665
  (0, 3403)	0.392499536067
  (0, 2730)	0.455870840075
  (0, 600)	0.488151183733",,positive,positive
11018,Selfdriving cars have a long way to go in the US according SelfDrivingCars ,,"  (0, 3078)	0.0937211611543
  (0, 509)	0.22552995674
  (0, 3071)	0.231768316686
  (0, 2059)	0.566257809337
  (0, 3814)	0.43638203854
  (0, 18)	0.612828556572",,positive,neutral
11020,Not necessarily museum related but interesting nonetheless  eviewfromthefrontseatofthegoogleselfdrivingcarfcfe  google selfdrivingcars,,"  (0, 3078)	0.0754882741213
  (0, 1801)	0.382456485001
  (0, 1478)	0.233083086083
  (0, 2816)	0.483273832817
  (0, 2295)	0.567245734926
  (0, 1194)	0.488241242886",,positive,neutral
11022,selfd rivingcarshavebeengettinginaccidentsincalifornia  They might need more driving classes before they hit the road google selfdrivingcars,,"  (0, 3078)	0.0841385383256
  (0, 2296)	0.380033879723
  (0, 1478)	0.259792271048
  (0, 1024)	0.316731992168
  (0, 2914)	0.336689921384
  (0, 1613)	0.409374567887
  (0, 3064)	0.63224689614",,positive,positive
11024,Google und Delphi melden Unflle mit autonomen Autos  carIT selfdrivingcars,,"  (0, 3078)	0.0551756646727
  (0, 1478)	0.17036439564
  (0, 864)	0.343720805189
  (0, 2202)	0.314287150585
  (0, 271)	0.303039632565
  (0, 3644)	0.374879740231
  (0, 246)	0.428703943944
  (0, 500)	0.403677114444
  (0, 3653)	0.414609564487",,neutral,neutral
11026,selfdrivingcars involved in accidents in California ,,"  (0, 3078)	0.117926457981
  (0, 476)	0.467962810051
  (0, 17)	0.522421993775
  (0, 1832)	0.702978960807",,positive,neutral
11028,SelfDrivingCars d dd  Benz SClass  Tesla Model S,,"  (0, 3078)	0.0741048790125
  (0, 3463)	0.310908072432
  (0, 2221)	0.484560642238
  (0, 820)	0.575780175673
  (0, 343)	0.575780175673",,positive,positive
11030,SelfDrivingCars Involved in  Accidents Total All Due to Human Error ,,"  (0, 3078)	0.07805929276
  (0, 1657)	0.363457653341
  (0, 17)	0.345807820015
  (0, 1160)	0.475011468279
  (0, 1832)	0.465324249074
  (0, 3546)	0.547777035741",,positive,positive
11032,How Daimler Built the World First SelfDriving Semi gallery SelfDrivingCars MercedesBenz ,,"  (0, 3078)	0.0726895770549
  (0, 3071)	0.179758132605
  (0, 450)	0.367260600054
  (0, 3890)	0.345976913142
  (0, 802)	0.460903557091
  (0, 2170)	0.501476647491
  (0, 3099)	0.493874426806",,positive,positive
11034,Nice selfdrivingcars at de p  futureofdriving  pictwittercomgvuOUSzcJ,,"  (0, 3078)	0.154330455473
  (0, 2319)	0.988019286509",,positive,positive
11036,Google selfdrivingcars trial shows that systems need better defensivedriving capabilities Most accidents were caused by other drivers,,"  (0, 3078)	0.056047995456
  (0, 350)	0.289825328814
  (0, 2296)	0.253155540703
  (0, 526)	0.366489400377
  (0, 1020)	0.239158377429
  (0, 1478)	0.173057867619
  (0, 17)	0.248296319882
  (0, 3391)	0.341066895104
  (0, 3582)	0.380806612873
  (0, 3152)	0.338638731464
  (0, 488)	0.435481780685",,positive,positive
11038,googlecar  da settembre gi  incidenti su strada google AP selfdrivingcars ,,"  (0, 3078)	0.0643556950488
  (0, 1478)	0.198709325171
  (0, 1479)	0.370388724703
  (0, 141)	0.483591577098
  (0, 3351)	0.408060824796
  (0, 798)	0.443982198103
  (0, 1729)	0.470840205178",,positive,positive
11040, it doesnt sound right  an accident is an accident selfdrivingcars googlecar,,"  (0, 3078)	0.0588929267873
  (0, 969)	0.373422993275
  (0, 1479)	0.338948651401
  (0, 2899)	0.326208770244
  (0, 15)	0.670922235714
  (0, 3243)	0.430873409277",,positive,positive
11042,fiat ceo apple planning an intervention in the automotive industry ceoapple isplanninganinterventionintheautomotiveindustry  cars gadgets selfdrivingcars transport,,"  (0, 3078)	0.0622942793734
  (0, 509)	0.149904524861
  (0, 3574)	0.360465617816
  (0, 239)	0.279968102976
  (0, 148)	0.265102285662
  (0, 535)	0.301030089175
  (0, 1749)	0.285795996936
  (0, 2538)	0.43714687249
  (0, 1298)	0.335464588198
  (0, 1416)	0.468101366685",,positive,neutral
11044,Google acknowledges  accidents with its selfdriving cars  via   tech SelfDrivingCars Google,,"  (0, 3078)	0.0889279929006
  (0, 509)	0.213995709665
  (0, 3071)	0.21991502204
  (0, 3427)	0.29339063496
  (0, 1478)	0.549161078743
  (0, 17)	0.393956879136
  (0, 22)	0.595883422909",,neutral,neutral
11046,What are the results of Google s selfdrivingcars after driving m miles in  years ,,"  (0, 3078)	0.0867796057902
  (0, 1478)	0.267947023059
  (0, 1024)	0.326674054107
  (0, 3924)	0.39957101269
  (0, 2183)	0.478618553843
  (0, 2864)	0.652092816217",,positive,neutral
11048,Will roadpainting companies map and navigation providers and governments be liable Insurance for selfdrivingcars autonomous mobility,,"  (0, 3078)	0.0615539364922
  (0, 252)	0.210292063756
  (0, 2217)	0.285523500489
  (0, 1785)	0.276640792763
  (0, 648)	0.271847117101
  (0, 2283)	0.412456968544
  (0, 2010)	0.462538167014
  (0, 1493)	0.412456968544
  (0, 2120)	0.407247652478",,positive,positive
11050,Selbstfahrende Autos Google rumt Unflle mit fahrerlosen Autos ein selfdrivingcars html via ,,"  (0, 3078)	0.0520551565233
  (0, 1478)	0.160729287697
  (0, 2202)	0.296512364899
  (0, 271)	0.571801920267
  (0, 1087)	0.36529435929
  (0, 1645)	0.353678087449
  (0, 3059)	0.380846800884
  (0, 3653)	0.391160956619",,neutral,neutral
11052,Google  selfdriving cars keep crashing And that why theyre safer  selfdrivingcars tech,,"  (0, 3078)	0.0810751554111
  (0, 509)	0.195098695613
  (0, 3071)	0.200495299709
  (0, 3427)	0.267482606429
  (0, 1478)	0.250333547135
  (0, 3495)	0.500948715721
  (0, 2978)	0.439951573705
  (0, 751)	0.580038033571",,positive,neutral
11054,Within  years human drivers won b allowed except on certain roads Wozniak selfdrivingcars  via ,,"  (0, 3078)	0.0674158003592
  (0, 1657)	0.31389970022
  (0, 2919)	0.27181125887
  (0, 3879)	0.436030291336
  (0, 1020)	0.287665121577
  (0, 3924)	0.31041163849
  (0, 97)	0.423600696458
  (0, 536)	0.523807364525",,positive,positive
11056,Not happy with the last line eliminating people  People Keep Crashing Into Googles SelfDrivingCars  via ,,"  (0, 3078)	0.0626017819058
  (0, 2493)	0.569382191568
  (0, 1482)	0.312922565673
  (0, 2028)	0.389982341139
  (0, 751)	0.447873510579
  (0, 1564)	0.47041205006",,positive,positive
11058,Hier fhrt erstmals ein RoboterAuto auf Schweizer Strassen HistoricDay selfdrivingcars  RA ,,"  (0, 3078)	0.0542870597555
  (0, 209)	0.374519894479
  (0, 1087)	0.380956624389
  (0, 3014)	0.421799660419
  (0, 3332)	0.421799660419
  (0, 1297)	0.421799660419
  (0, 1611)	0.421799660419",,positive,positive
11060,Google selfdriving car involved in  accidents   google googlecar selfdrivingcars,,"  (0, 3078)	0.0836550541616
  (0, 3071)	0.206875276048
  (0, 492)	0.255925234637
  (0, 1478)	0.51659886035
  (0, 17)	0.370597412429
  (0, 1479)	0.481463043828
  (0, 1832)	0.498681500723",,neutral,neutral
11062,Oh the possibilities Ik kijk al uit naar een eerste incar concert experience  innovatie selfdrivingcars,,"  (0, 3078)	0.0435750654669
  (0, 2379)	0.284930789842
  (0, 82)	0.281833759879
  (0, 1221)	0.265165813011
  (0, 1913)	0.327438536951
  (0, 2266)	0.327438536951
  (0, 1701)	0.338569594659
  (0, 3635)	0.338569594659
  (0, 1078)	0.327438536951
  (0, 2578)	0.318804617828
  (0, 1728)	0.338569594659",,neutral,neutral
11064,Google admits that its SelfDrivingCars have had  crashes ,,"  (0, 3078)	0.151345644397
  (0, 1478)	0.467305820301
  (0, 750)	0.871045214805",,neutral,neutral
11066,  found traffic includes lots of unpredictable dicks Took a while Interesting read though selfdrivingcars ,,"  (0, 3078)	0.0583894643267
  (0, 1801)	0.29582646507
  (0, 3559)	0.267403490159
  (0, 2072)	0.373807727754
  (0, 2759)	0.322037427126
  (0, 3537)	0.42718996886
  (0, 1734)	0.453674528257
  (0, 3665)	0.453674528257",,positive,positive
11068,Swisscom launches the first selfpropelled car on the Swiss roads  selfdrivingcars intelligent ersteselbstfahrendeAutorolltdurchZuerich ,,"  (0, 3078)	0.0655294484803
  (0, 2919)	0.264205746866
  (0, 492)	0.2004737149
  (0, 1958)	0.452079781823
  (0, 1797)	0.423829790045
  (0, 3387)	0.509150785488
  (0, 3388)	0.492411577761",,positive,positive
11070,Wanna know more about Googles Self Driving Cars Check out the link Google SelfDrivingCars ,,"  (0, 3078)	0.0640211878899
  (0, 509)	0.154060145621
  (0, 564)	0.366536313873
  (0, 1478)	0.197676476536
  (0, 3062)	0.282311198261
  (0, 1024)	0.241002028141
  (0, 1923)	0.346071155285
  (0, 3799)	0.468392878345
  (0, 1482)	0.32001763787
  (0, 2029)	0.468392878345",,positive,neutral
11072,Selfdriving car accidents revealed in California selfdrivingcars ,,"  (0, 3078)	0.102264528459
  (0, 3071)	0.252895688932
  (0, 476)	0.405812206401
  (0, 492)	0.31285704974
  (0, 17)	0.453038612071
  (0, 2871)	0.676593432037",,positive,positive
11074,Selfdriving cars i numeri irrisori degli incidenti delle auto senza pilota   SelfDrivingCars auto,,"  (0, 3078)	0.0561437179055
  (0, 509)	0.135103856104
  (0, 3071)	0.138840949378
  (0, 219)	0.526900000029
  (0, 863)	0.401670420071
  (0, 1729)	0.410759601587
  (0, 852)	0.436225525085
  (0, 3112)	0.401670420071",,neutral,neutral
11076,selfdrivingcars accidents revealed in California ,,"  (0, 3078)	0.111701873428
  (0, 476)	0.443262042059
  (0, 17)	0.49484667329
  (0, 2871)	0.739031950241",,positive,neutral
11078,Pi di  mld  il settore selfdrivingcars ora vale una vera fortuna Dati  oggi su it ,,"  (0, 3078)	0.0392447773566
  (0, 3351)	0.248839767869
  (0, 2519)	0.287123292021
  (0, 1702)	0.270744997807
  (0, 910)	0.262969077562
  (0, 816)	0.294899212265
  (0, 2209)	0.294899212265
  (0, 3122)	0.304924117031
  (0, 2421)	0.294899212265
  (0, 3729)	0.304924117031
  (0, 3641)	0.280769902573
  (0, 3750)	0.304924117031
  (0, 1360)	0.304924117031",,positive,positive
11080,More news on the selfdriving cars California selfdrivingcars ,,"  (0, 3078)	0.140480275792
  (0, 509)	0.338050768172
  (0, 3071)	0.347401554216
  (0, 476)	0.557462216216
  (0, 2312)	0.659192694037",,positive,positive
11082,SelfDrivingCars Involved in  Accidents Total All Due to Human Error ,,"  (0, 3078)	0.07805929276
  (0, 1657)	0.363457653341
  (0, 17)	0.345807820015
  (0, 1160)	0.475011468279
  (0, 1832)	0.465324249074
  (0, 3546)	0.547777035741",,positive,positive
11084,Wenn fahrerlose Autos einen Unfall bauen ist fast immer der Mensch schuld sagt Google  selfdrivingcars html ,,"  (0, 3078)	0.047144903422
  (0, 1478)	0.145568033057
  (0, 271)	0.25893252569
  (0, 1268)	0.267213913905
  (0, 878)	0.298932179362
  (0, 1856)	0.330836912989
  (0, 1645)	0.320316379566
  (0, 1088)	0.36630652578
  (0, 3652)	0.36630652578
  (0, 2983)	0.36630652578
  (0, 1255)	0.36630652578",,neutral,neutral
11086, out of the  selfdriving cars in California have been involved in accidents in the last  mos selfdrivingcars  y ,,"  (0, 3078)	0.109229758744
  (0, 509)	0.262849739172
  (0, 3071)	0.270120397618
  (0, 476)	0.433452049002
  (0, 17)	0.483895042046
  (0, 1832)	0.651136510044",,positive,neutral
11088,Zukunft Versicherungen verlangen Aufschlge fcr Fahrer die Auto selbst steuern wollen  UnfaellemitGooglesSelbstfahrautosarticlehtml  selfdrivingcars ,,"  (0, 3078)	0.0617828212897
  (0, 219)	0.289911051082
  (0, 915)	0.359501185069
  (0, 1276)	0.395531904716
  (0, 3950)	0.442014399943
  (0, 3058)	0.464258088773
  (0, 3875)	0.464258088773",,neutral,neutral
11090,google selfdrivingcars Elf kleinere Unflle mit selbstfahrenden Autos von Google  gleelfunfaelleautos ,,"  (0, 3078)	0.062422242332
  (0, 1478)	0.385478911853
  (0, 2202)	0.355564519105
  (0, 271)	0.342839791643
  (0, 3781)	0.41827526084
  (0, 3060)	0.456694646293
  (0, 3653)	0.469062925859",,neutral,neutral
11092,Are SelfDriving Cars Safe  California LosAngeles TrafficNews SelfDrivingCars Driving News,,"  (0, 3078)	0.0847649638531
  (0, 509)	0.203977825236
  (0, 3071)	0.209620033984
  (0, 476)	0.336369389515
  (0, 1024)	0.319090114964
  (0, 2975)	0.4383213587
  (0, 2312)	0.397752955476
  (0, 2067)	0.584783288334",,positive,positive
11094,Not quite healthcare but selfdrivingcars that speaks to coming automation view &gid&typemember&item&trkgroupspostbtitle ,,"  (0, 3078)	0.065058710599
  (0, 635)	0.312313153701
  (0, 234)	0.322709829094
  (0, 1581)	0.448832217811
  (0, 3761)	0.376461988906
  (0, 2718)	0.442028069328
  (0, 3254)	0.505493245748",,positive,positive
11096,It is not because humans are dumb but the car has one thing to do and it does it perfectly   Google selfdrivingcars,,"  (0, 3078)	0.0691735359771
  (0, 1661)	0.298839614268
  (0, 492)	0.211622042482
  (0, 1478)	0.213585241264
  (0, 967)	0.390180551351
  (0, 3496)	0.372510477593
  (0, 1044)	0.485421698679
  (0, 2497)	0.537464620786",,neutral,neutral
11098,Heute testet Google das erste Mal in Zcrich selbstfahrende Autos  dedaba  selfdrivingcars zurich,,"  (0, 3078)	0.0565383358839
  (0, 1478)	0.174571878391
  (0, 271)	0.310523790401
  (0, 1594)	0.413646712195
  (0, 809)	0.413646712195
  (0, 3059)	0.413646712195
  (0, 3953)	0.404493645448
  (0, 1164)	0.439291628315",,neutral,neutral
11100,Google says selfdriving vehicles were involved in  accidents Selfcrashing cars  selfdrivingcars,,"  (0, 3078)	0.0930431059507
  (0, 509)	0.223898289368
  (0, 3071)	0.230091515938
  (0, 3004)	0.418853383007
  (0, 3745)	0.390856910238
  (0, 1478)	0.287286661752
  (0, 17)	0.412187101607
  (0, 1832)	0.554645217465",,neutral,neutral
11102,selfdrivingcars as seen de in Zurich news pictwittercomWMJFTZyac,,"  (0, 3078)	0.092465941871
  (0, 2312)	0.433889191811
  (0, 3050)	0.604620866739
  (0, 3953)	0.661531425049",,neutral,positive
11104,Thanks to cellphone use we already have many driverless vehicles  ld selfdrivingcars Google,,"  (0, 3078)	0.079557903578
  (0, 3745)	0.334208064743
  (0, 1478)	0.245648770012
  (0, 1016)	0.287607831771
  (0, 3482)	0.462930633805
  (0, 3686)	0.408916588835
  (0, 1972)	0.5978263778",,neutral,neutral
11106,Google acknowledges its selfdriving cars had  minor accidents  selfdrivingcars ,,"  (0, 3078)	0.0881142775215
  (0, 509)	0.212037590581
  (0, 3071)	0.217902739634
  (0, 1478)	0.272068052578
  (0, 17)	0.390352066289
  (0, 22)	0.590430927136
  (0, 2195)	0.569903403858",,neutral,neutral
11108,Audi  laser light technology is milestone for selfdriving functions  selfdrivingcars MEMS,,"  (0, 3078)	0.0572834445635
  (0, 3071)	0.141659443363
  (0, 3439)	0.21620044112
  (0, 2184)	0.4304481721
  (0, 208)	0.348584930097
  (0, 1951)	0.346103243177
  (0, 2019)	0.378993605507
  (0, 1388)	0.401983599269
  (0, 2166)	0.445080974606",,positive,positive
11110,Cant wait til the day we all have selfdrivingcars    ,,"  (0, 3078)	0.0977039520168
  (0, 817)	0.528145769625
  (0, 3792)	0.520429073545
  (0, 3516)	0.663829468461",,positive,positive
11112,A great read about how google s selfdrivingcars work and the hazards in daily traffic   eviewfromthefrontseatofthegoogleselfdrivingcarfcfe ,,"  (0, 3078)	0.062522421133
  (0, 3884)	0.321356572076
  (0, 1478)	0.193048775279
  (0, 3559)	0.286330998527
  (0, 1503)	0.321356572076
  (0, 2759)	0.344832066393
  (0, 800)	0.408824694705
  (0, 1572)	0.469815704992
  (0, 1194)	0.404381010926",,positive,neutral
11114,Autoconduite des voitures de Google impliqus dans  accidents selfdrivingcars google ,,"  (0, 3078)	0.0668389496059
  (0, 1478)	0.41275360514
  (0, 17)	0.296100959131
  (0, 879)	0.478187586552
  (0, 3776)	0.48900823342
  (0, 807)	0.519325348867",,neutral,neutral
11116,Coches de autoconduccin de Google involucrados en  accidentes selfdrivingcars google ,,"  (0, 3078)	0.0904955325159
  (0, 1123)	0.491070929704
  (0, 1478)	0.558841177416
  (0, 613)	0.662084918284",,neutral,neutral
11118,adaedd selfdrivingcars google tech ,,"  (0, 3078)	0.216075982511
  (0, 3427)	0.71287642553
  (0, 1478)	0.667171920651",,neutral,neutral
11120,abGoogleeab selfdrivingcars google tech ,,"  (0, 3078)	0.216075982511
  (0, 3427)	0.71287642553
  (0, 1478)	0.667171920651",,neutral,neutral
11122,Googles selfdriving cars involved in  accidents selfdrivingcars google tech ,,"  (0, 3078)	0.0938763097523
  (0, 509)	0.225903305258
  (0, 3071)	0.232151992357
  (0, 3427)	0.309716088574
  (0, 1478)	0.289859322416
  (0, 17)	0.415878249452
  (0, 1482)	0.469252069338
